image_path,label,confidence,source,category
c:\file akmal\Capstone - Ai Eng - Spendly_ Workspace\data\_ocr_real_crops\real_0046_line14.png,LESs 20 5580,0.7159238261812204,c:\file akmal\Capstone - Ai Eng - Spendly_ Workspace\data\Beauty\train\images\watsons7_png.rf.963105a64840e4874024ebfbf023a4d7.jpg,Beauty
c:\file akmal\Capstone - Ai Eng - Spendly_ Workspace\data\_ocr_real_crops\real_0014_line14.png,Purchae 68 720,0.7791904811959909,c:\file akmal\Capstone - Ai Eng - Spendly_ Workspace\data\Beauty\train\images\guardian3_png.rf.4403712ceb52869722d0f40217f14887.jpg,Beauty
c:\file akmal\Capstone - Ai Eng - Spendly_ Workspace\data\_ocr_real_crops\real_0003_line24.png,sociolla,0.9995068314960592,c:\file akmal\Capstone - Ai Eng - Spendly_ Workspace\data\Beauty\test\images\sociolla4_png.rf.5bb881823b37dffcefab7770dde4533f.jpg,Beauty
c:\file akmal\Capstone - Ai Eng - Spendly_ Workspace\data\_ocr_real_crops\real_0054_line18.png,closing bolance 130,0.7713615784549939,c:\file akmal\Capstone - Ai Eng - Spendly_ Workspace\data\Beauty\valid\images\watsons20_png.rf.37dfc4b031bf5688bbb740863ce13a58.jpg,Beauty
c:\file akmal\Capstone - Ai Eng - Spendly_ Workspace\data\_ocr_real_crops\real_0043_line16.png,CHANGE CASH 1680,0.8581025706336832,c:\file akmal\Capstone - Ai Eng - Spendly_ Workspace\data\Beauty\train\images\watsons4_png.rf.ff22e5b2067f8a0429fd6a9325a94606.jpg,Beauty
c:\file akmal\Capstone - Ai Eng - Spendly_ Workspace\data\_ocr_real_crops\real_0042_line05.png,Telp: (031) 7392186,0.7443313113986474,c:\file akmal\Capstone - Ai Eng - Spendly_ Workspace\data\Beauty\train\images\watsons3_png.rf.f204639ca66c15a4bb53400f85d1b559.jpg,Beauty
c:\file akmal\Capstone - Ai Eng - Spendly_ Workspace\data\_ocr_real_crops\real_0024_line23.png,sociolla,0.9997025513650788,c:\file akmal\Capstone - Ai Eng - Spendly_ Workspace\data\Beauty\train\images\sociolla17_png.rf.d089362a57f6091f2870e121e5b76898.jpg,Beauty
c:\file akmal\Capstone - Ai Eng - Spendly_ Workspace\data\_ocr_real_crops\real_0029_line01.png,sociolla,0.9998511327411372,c:\file akmal\Capstone - Ai Eng - Spendly_ Workspace\data\Beauty\train\images\sociolla3_png.rf.bd03a7fb8e4918513b7cb130da770cc3.jpg,Beauty
c:\file akmal\Capstone - Ai Eng - Spendly_ Workspace\data\_ocr_real_crops\real_0051_line12.png,"saving 14,850",0.7931963619347697,c:\file akmal\Capstone - Ai Eng - Spendly_ Workspace\data\Beauty\valid\images\sociolla19_png.rf.a02b59e7a59e78bafc90df3db70c7d58.jpg,Beauty
c:\file akmal\Capstone - Ai Eng - Spendly_ Workspace\data\_ocr_real_crops\real_0015_line17.png,DCA QRIS 56 520,0.7158789120425987,c:\file akmal\Capstone - Ai Eng - Spendly_ Workspace\data\Beauty\train\images\guardian4_png.rf.958b8599be940cadea71e751911c8e30.jpg,Beauty
