image_path,category,extracted_text,blur_score,is_blurry,ocr_confidence,text_length
c:\file akmal\Capstone - Ai Eng - Spendly_ Workspace\data\Beauty\test\images\guardian10_png.rf.3ef684fec3bc3393d8a1d5c232a344e4.jpg,Beauty,10 df tlk npap indy park. gedun lanta dan jalan houlcvand binaro jaya blok scktor cbo jaya ke pondlok jaya kcc. pondok kota provunfi banlon guard tne park seranc 32 800 2511990 45 90o 0 toral (fp) 920 6 1 054 dpp vat 58 231 823 mandiri 70 920 acoroval cade 909771 rzukan co d fo1lo kani d socal required for 59132 pas? tr7788 18: 53 01 05 2026,1945.8633251804113,False,0.6180326385184174,343
c:\file akmal\Capstone - Ai Eng - Spendly_ Workspace\data\Beauty\test\images\guardian1_png.rf.501b4c49a925f135473609b35f92070d.jpg,Beauty,01 pt tlk 1092000 park gejurb antai dan jalan poulevard rinaro jaya blok scklor vi 81nlaro aya pondok kec ponjok tangeranx sclalen provins the park 63 39083/ 35 (rp) 105 a00 95 8 650 1150 oris 0s 400 appfoya code 126839 vasukan co a follow kam meaia fd 101 or 57215 fos1 tr3a36 10 24 21 04 2026 laya,1918.9650398264828,False,0.5765161012813028,299
c:\file akmal\Capstone - Ai Eng - Spendly_ Workspace\data\Beauty\test\images\guardian6_png.rf.deaa0d9cd745d4a5d56ee244dfd8dbef.jpg,Beauty,06 reto indy dan bintaro jaya bok 87 a6. scklor c8o pondok pondk koua 051 banled guard park 20950 oreal su 7ou 51 tsse 18 (rp) 70 789 vat 0ebit approva codr 772211 follo di for 86120 tr4456 122415 18 04 2026,1432.9561230281827,False,0.5833481636324336,207
c:\file akmal\Capstone - Ai Eng - Spendly_ Workspace\data\Beauty\test\images\sociolla4_png.rf.5bb881823b37dffcefab7770dde4533f.jpg,Beauty,"03 sociolla sociolla thopark semarang soclolla the park semarang the park semarang gf 0210 jl madukoro raya blok e f keluranan tanjunomas, semarang utara 2 01 26 18 31 geca skin aqua tone up uv essonce 809 (89 000 89 000 diec (10 dod upit s) sublotal saving 10 00o total 79 0oo oris 78 000 harda ppn 081 98788 con sociolla con pt aiel indonesia ruko cordoba jalan marina gll 26, kamal jakarto, 19470 08s8 sociolla",2192.936811520004,False,0.6668257573964506,413
c:\file akmal\Capstone - Ai Eng - Spendly_ Workspace\data\Beauty\test\images\watsons16_png.rf.3789e3ece70b8e99ef80b773631dfa88.jpg,Beauty,"06 (022) s 68 4, s 520123 lip 203 79180 pasco 260 203 3980 cask 360 karr 3) cs 105 99 ciosing balance 26 18 01 2026",856.1169030046226,False,0.5215504028962717,115
c:\file akmal\Capstone - Ai Eng - Spendly_ Workspace\data\Beauty\train\images\guardian11_png.rf.4624dbda39eceaaa6967bc81ee627987.jpg,Beauty,"ul ft nusanlare tbk indy binlaro officc park, lantai dun julan boulevurd binlaro blok 87 a6 - 52k1r cad bintaro ke pandox jaya, kec: pondok aren koua banten gard park 28 2511605 sog 10 180 (r2) 91 620 83 291 7s 720 vt 429 91 620 cod 771992 follos di gd rcccidt rcquirod for or fchanfe 511b3 f0s1 11 28 03 05 2026 aya",1958.5760149196626,False,0.6272795163991541,316
c:\file akmal\Capstone - Ai Eng - Spendly_ Workspace\data\Beauty\train\images\guardian12_png.rf.abf7e098a5607fb50395f24478f62cc3.jpg,Beauty,"02 ft dfi wusantara tbk ind oftice cljunk dan jalan bculevara binlaro jaya blck 87 4g. cad laya k fondok k , aren sclalan provinsi guard fark 1885150 tonn 00o paeo 28 900 tota 167 82 636 760 vt 15- 264 h 20 follos rcqu for rcfund exchangc fosz tr7724 0s 06 05 2026",1774.9345879699642,False,0.6096866256925209,264
c:\file akmal\Capstone - Ai Eng - Spendly_ Workspace\data\Beauty\train\images\guardian13_png.rf.6d5722e2dd5e5c5244dbb86fe6e3b1c3.jpg,Beauty,"03 rcrai nusanlar ibk 001302484109200o indy binlaro park. dan jalan boulevard binaro juya blox seklor cbd rintaro jaya, kcl pondox jaya pondo aren, kona prov guard prrk serang booy swl 54 900 2601297 10 disc: 100 6 300 purchasc 61 182 dpp vat 55 620 var s62 mandiri dfbit 87 30o 4a1002 saran follor kaa di soc",1673.3835985632898,False,0.6335105993877265,309
c:\file akmal\Capstone - Ai Eng - Spendly_ Workspace\data\Beauty\train\images\guardian16_png.rf.324a1ea5f1a7d25b57e51aca7a8c0295.jpg,Beauty,"06 ft dfi nusanrara iny rentaro jayn alok 87 16, rinraro kel pondox jaya kec pondox kora tangeronf frovinsi urrd fark vicellar atr 900 620856 qeak fo (rp) 21 boo 155 dff vat 103 10 var rc oris 128 880144 c0 50llos mdia receipl required for refund r echanke 58899 tr2281 16 21 18 05 2026",1730.697722152466,False,0.5979454305879085,286
c:\file akmal\Capstone - Ai Eng - Spendly_ Workspace\data\Beauty\train\images\guardian17_png.rf.7ab9e6fdcd1e6c0259f275a3d510f3be.jpg,Beauty,07 ft dfi rclui nusanlara ind binaro puk dan a foulevard bingaro blok cao joyo kr fondok jayn fondok proviny gward pakk fasta aco plasnek 10s 500 (rp) 3 300 purch1 41 182 28 447 vat 835 deb t 300 suran co a fallo di ruarjian id reccipt for rcfund or fchonge 81212 pos1 21 05 2026,1809.3868625427247,False,0.5937105157831705,279
