filename,category,split,filepath,extracted_text,text_length,has_text
guardian11_png.rf.4624dbda39eceaaa6967bc81ee627987.jpg,Beauty,train,C:\Nizam\DBS-Foundation\Capstone - Ai Eng - Spendly_ Workspace\data\Beauty\train\images\guardian11_png.rf.4624dbda39eceaaa6967bc81ee627987.jpg,,0,False
guardian12_png.rf.abf7e098a5607fb50395f24478f62cc3.jpg,Beauty,train,C:\Nizam\DBS-Foundation\Capstone - Ai Eng - Spendly_ Workspace\data\Beauty\train\images\guardian12_png.rf.abf7e098a5607fb50395f24478f62cc3.jpg,,0,False
guardian13_png.rf.6d5722e2dd5e5c5244dbb86fe6e3b1c3.jpg,Beauty,train,C:\Nizam\DBS-Foundation\Capstone - Ai Eng - Spendly_ Workspace\data\Beauty\train\images\guardian13_png.rf.6d5722e2dd5e5c5244dbb86fe6e3b1c3.jpg,,0,False
guardian16_png.rf.324a1ea5f1a7d25b57e51aca7a8c0295.jpg,Beauty,train,C:\Nizam\DBS-Foundation\Capstone - Ai Eng - Spendly_ Workspace\data\Beauty\train\images\guardian16_png.rf.324a1ea5f1a7d25b57e51aca7a8c0295.jpg,,0,False
guardian17_png.rf.7ab9e6fdcd1e6c0259f275a3d510f3be.jpg,Beauty,train,C:\Nizam\DBS-Foundation\Capstone - Ai Eng - Spendly_ Workspace\data\Beauty\train\images\guardian17_png.rf.7ab9e6fdcd1e6c0259f275a3d510f3be.jpg,,0,False
guardian18_png.rf.a61b06370f344119d42c5dd2f65524a4.jpg,Beauty,train,C:\Nizam\DBS-Foundation\Capstone - Ai Eng - Spendly_ Workspace\data\Beauty\train\images\guardian18_png.rf.a61b06370f344119d42c5dd2f65524a4.jpg,,0,False
guardian19_png.rf.407277e919a026c62d9ef40b9f6de664.jpg,Beauty,train,C:\Nizam\DBS-Foundation\Capstone - Ai Eng - Spendly_ Workspace\data\Beauty\train\images\guardian19_png.rf.407277e919a026c62d9ef40b9f6de664.jpg,,0,False
guardian20_png.rf.90d35b6eea269769030d928be784d606.jpg,Beauty,train,C:\Nizam\DBS-Foundation\Capstone - Ai Eng - Spendly_ Workspace\data\Beauty\train\images\guardian20_png.rf.90d35b6eea269769030d928be784d606.jpg,,0,False
guardian2_png.rf.f68625ad842b7be50d132fe4db62b4b1.jpg,Beauty,train,C:\Nizam\DBS-Foundation\Capstone - Ai Eng - Spendly_ Workspace\data\Beauty\train\images\guardian2_png.rf.f68625ad842b7be50d132fe4db62b4b1.jpg,,0,False
guardian3_png.rf.4403712ceb52869722d0f40217f14887.jpg,Beauty,train,C:\Nizam\DBS-Foundation\Capstone - Ai Eng - Spendly_ Workspace\data\Beauty\train\images\guardian3_png.rf.4403712ceb52869722d0f40217f14887.jpg,,0,False
guardian4_png.rf.958b8599be940cadea71e751911c8e30.jpg,Beauty,train,C:\Nizam\DBS-Foundation\Capstone - Ai Eng - Spendly_ Workspace\data\Beauty\train\images\guardian4_png.rf.958b8599be940cadea71e751911c8e30.jpg,,0,False
guardian5_png.rf.9de2a4aa07f6376df70315cabbe65de1.jpg,Beauty,train,C:\Nizam\DBS-Foundation\Capstone - Ai Eng - Spendly_ Workspace\data\Beauty\train\images\guardian5_png.rf.9de2a4aa07f6376df70315cabbe65de1.jpg,,0,False
guardian7_png.rf.c30b2322563f5fde1935231cee22ab27.jpg,Beauty,train,C:\Nizam\DBS-Foundation\Capstone - Ai Eng - Spendly_ Workspace\data\Beauty\train\images\guardian7_png.rf.c30b2322563f5fde1935231cee22ab27.jpg,,0,False
guardian8_png.rf.eac63968da6be2f488cbaae8a44bee45.jpg,Beauty,train,C:\Nizam\DBS-Foundation\Capstone - Ai Eng - Spendly_ Workspace\data\Beauty\train\images\guardian8_png.rf.eac63968da6be2f488cbaae8a44bee45.jpg,,0,False
guardian9_png.rf.31a25e08161a15476d6ed46b74e8af16.jpg,Beauty,train,C:\Nizam\DBS-Foundation\Capstone - Ai Eng - Spendly_ Workspace\data\Beauty\train\images\guardian9_png.rf.31a25e08161a15476d6ed46b74e8af16.jpg,,0,False
sociolla11_png.rf.0283463bba6bce3e9a71e60471c6aa49.jpg,Beauty,train,C:\Nizam\DBS-Foundation\Capstone - Ai Eng - Spendly_ Workspace\data\Beauty\train\images\sociolla11_png.rf.0283463bba6bce3e9a71e60471c6aa49.jpg,,0,False
sociolla13_png.rf.f178cb9fa4590b6327d5a84e51c48df6.jpg,Beauty,train,C:\Nizam\DBS-Foundation\Capstone - Ai Eng - Spendly_ Workspace\data\Beauty\train\images\sociolla13_png.rf.f178cb9fa4590b6327d5a84e51c48df6.jpg,,0,False
